nom_article,id_article,NOM_COULEUR
"Malteser Weissbier (Kristall)",1797,Blanche
"Fille de l'Orge Blanche",1806,Blanche
"Tri Martolod Blanche",1865,Blanche
"Blanche de Chambly",1873,Blanche
"Watou's Wit",1896,Blanche
"Vieux Bruges blanche",1903,Blanche
"Weihenstephaner Hefe-Weissbier",1930,Blanche
"Weihenstephaner Hefe-Weissbier Dunkel",1931,Blanche
"Weihenstephaner Kristallweissbier",1932,Blanche
"Xan Hefe Weissbier",1933,Blanche
"Franziskaner Hefe-Weissbier Hell",1968,Blanche
"Franziskaner Weissbier Kristallklar",1969,Blanche
"Hertog Jan Weizener",1976,Blanche
Hoegaarden,1977,Blanche
"Hoegaarden Citron",1978,Blanche
"Hoegaarden Rosée",1980,Blanche
"Hoegaarden Spéciale",1981,Blanche
"Hoegarden Rosée",1982,Blanche
Brugs,2044,Blanche
"Grimbergen Cuvée Blanche",2055,Blanche
"Mort Subite Blanche",2067,Blanche
"Chimay Cinq Cents",2078,Blanche
Effinguud,2143,Blanche
"Blanche de la Tour Truffée",2147,Blanche
"Baltika 8",2166,Blanche
Sakura,2170,Blanche
"Croix Roussienne Blanche (la)",2173,Blanche
"Ninkasi Blanche",2180,Blanche
"Berliner Kindl",2212,Blanche
XIV,2222,Blanche
"Blanche de Ré (la)",2229,Blanche
"Déferlante (la)",2230,Blanche
"Hop Weiss",2264,Blanche
"Akerbeltz Blanche (Xuria)",2277,Blanche
"L & L Alphand Blanche",2282,Blanche
"Mange-Soif Blanche de Soif",2322,Blanche
"Brunehaut Terroir",2352,Blanche
"Coreff Blanche",2373,Blanche
"Brasserie Corrézienne Blanche",2379,Blanche
"507 Clovis",2405,Blanche
"Bercloise Blanche",2409,Blanche
"Britt Blanche",2423,Blanche
Amadeus,2444,Blanche
"Julien Blanche",2459,Blanche
"Ramberte (la)",2484,Blanche
"Pierre de Lune",2500,Blanche
"Brass Band Blanche",2520,Blanche
Noiraude,2532,Blanche
Titje,2570,Blanche
"Struise Witte",2588,Blanche
"Aiguille Blanche (l')",2600,Blanche
Cambierra,2619,Blanche
"Ribouldingue Amarillo",2629,Blanche
"Ribouldingue Naturelle",2630,Blanche
"Bell' de Loing Blanche",2637,Blanche
"Sorcière du Berry Blanche (la)",2641,Blanche
"Rosée d'Hibiscus",2663,Blanche
"Solstice d'Été aux Framboises",2665,Blanche
Pavoa,2669,Blanche
"Bière de Saint Jacques",2670,Blanche
"Strawberry Boby",2678,Blanche
"Apple White",2679,Blanche
"Blanche d'Ardennes",2680,Blanche
"Blanche de Namur",2681,Blanche
"Bougnat Blanche à la pomme",2693,Blanche
"Eveil des Sylphes (l’)",2710,Blanche
"Loup Blanc du Causse (le)",2712,Blanche
"Craponette Bio",2720,Blanche
"Léman Blanche",2727,Blanche
"Blanche du Mas",2732,Blanche
"Salève Blanche",2736,Blanche
"Salève Weizen",2749,Blanche
"St Julien (la)",2769,Blanche
"Olta Blanche",2773,Blanche
"Ratz Blanche",2777,Blanche
"Ratz Blanche Bio",2778,Blanche
"Vaillant Fourquet Blanche",2795,Blanche
"Blanche du Hainaut",2807,Blanche
"Bob's Beer Blanche",2822,Blanche
"Fort Boyard Blanche",2829,Blanche
"Blanche des Neiges",2845,Blanche
"Floris Cerise",2850,Blanche
"Floris Fraise",2851,Blanche
"Floris Wit",2852,Blanche
"Blanche Hermine",2882,Blanche
"Parpalhon Blanche Estivale",2898,Blanche
"Ursulines Blanche",2901,Blanche
"Blanche des Canuts (la)",2906,Blanche
"Goule Blanche (la)",2922,Blanche
"Goule Notre Dame (la)",2925,Blanche
Colomba,2931,Blanche
"Pousset Pomme",2938,Blanche
"Grisette Blanche",2958,Blanche
"Thurn und Taxis Kristall Weizen",2981,Blanche
"Thurn und Taxis Weissbier",2982,Blanche
"Bière Breizh Blanche",2996,Blanche
"St Bernardus Blanche",3000,Blanche
"Blanche du Mt Blanc",3008,Blanche
"Guineu Sitges",3063,Blanche
"Ch'ti Blanche",3079,Blanche
"Cervesa del Montseny Blat",3084,Blanche
"Cuvée d'Oscar",3098,Blanche
"Estrella Damm Inedit",3106,Blanche
"Jan de Lichte",3120,Blanche
"Beersel de Froment",3180,Blanche
"Erdinger Weissbier (Hefe)",3221,Blanche
"Pictalie Blanche",3263,Blanche
Abraxxxas,3265,Blanche
"Schneider Weisse Original",3285,Blanche
"Schneider Weisse Tap 5 Hopfen-Weisse",3286,Blanche
"Alouette de Gascogne Blanche",3290,Blanche
"Gasconha Blanche",3293,Blanche
"Maisel's Weisse Hell",3296,Blanche
"Maisel's Weisse Kristall",3297,Blanche
"Maisel's Weisse Original",3298,Blanche
"Haacht blanche",3323,Blanche
"Adriaan Rosé",3360,Blanche
Grodziskie,3361,Blanche
"Andechser Dunkel Weissbier",3379,Blanche
"Andechser Weissbier Hefetrüb",3381,Blanche
"Cagole Blanche à l'Ancienne",3389,Blanche
"Crécelle Bière au Chanvre",3398,Blanche
"Crécelle Bière Blanche (la)",3399,Blanche
"Lindy Hop",3407,Blanche
"Thou Blanche",3420,Blanche
"Rainette Blanche",3424,Blanche
"Vache à Bière Blanche",3432,Blanche
"Larme Blanche (la)",3466,Blanche
"Manneken Pis Witbier",3477,Blanche
"Meantime Raspberry",3531,Blanche
"Meantime Wheat",3532,Blanche
Gwened,3576,Blanche
"Witte Trappiste",3597,Blanche
"Northmaen Blanche",3617,Blanche
"Oettinger Dunkles Hefeweizen",3621,Blanche
"Bière de l'Yvette Blanche",3636,Blanche
"Parisis Blanche",3640,Blanche
"Paulaner Hefe-Weissbier",3643,Blanche
"Georges Blanche (saison été 2007)",3653,Blanche
"Malteser Weissbier (Kristall)",3758,Blanche
"Fille de l'Orge Blanche",3767,Blanche
"Tri Martolod Blanche",3826,Blanche
"Blanche de Chambly",3834,Blanche
"Watou's Wit",3857,Blanche
"Vieux Bruges blanche",3864,Blanche
"Weihenstephaner Hefe-Weissbier",3891,Blanche
"Weihenstephaner Hefe-Weissbier Dunkel",3892,Blanche
"Weihenstephaner Kristallweissbier",3893,Blanche
"Xan Hefe Weissbier",3894,Blanche
"das Echte Märzen",1,Blonde
"Dinkel Acker Märzen",4,Blonde
"Dinkel Acker Privat",5,Blonde
"Goose Island India Pale Ale",10,Blonde
"Hertog Jan Natuurzuiver",13,Blonde
"Hertog Jan Primator",14,Blonde
"Hoegaarden Grand Cru",18,Blonde
Antartica,22,Blonde
"Bécasse Originale Gueuze",24,Blonde
Becks,26,Blonde
"Becks Gold",27,Blonde
"Bohemia Pilsen",29,Blonde
"Brahma Chopp",30,Blonde
Carling,31,Blonde
Julius,32,Blonde
"Leffe Blonde",34,Blonde
"Leffe Royale",38,Blonde
"Leffe Triple",40,Blonde
Loburg,42,Blonde
"Meister Pils",43,Blonde
"PiedBoeuf Blonde",44,Blonde
"PiedBoeuf Triple",46,Blonde
"Stella Artois",50,Blonde
"Carlsberg Beer",52,Blonde
Foster's,53,Blonde
Kanterbraü,54,Blonde
1664,55,Blonde
"1664 Gold",56,Blonde
Kronenbourg,58,Blonde
"Agent Provocateur",60,Blonde
"Abdis Triple",62,Blonde
"Chouffe (la)",63,Blonde
"Chouffe IPA Houblon",64,Blonde
Duvel,66,Blonde
"Duvel Tripel Hop 2014 Mosaic",67,Blonde
"Duvel Triple Hop",68,Blonde
"Duvel Verte",69,Blonde
"Affligem Blonde",77,Blonde
"Affligem Tripel",81,Blonde
"Ciney Blonde",84,Blonde
"Fischer Tradition",90,Blonde
"Fischer Tradition de la Réunion",91,Blonde
"Grimbergen Blonde",92,Blonde
"Grimbergen Cuvée Ambrée",93,Blonde
"Grimbergen Cuvée de l'Ermitage",95,Blonde
"Grimbergen Dorée",96,Blonde
"Grimbergen la Réserve",98,Blonde
"Grimbergen Triple",100,Blonde
Heineken,101,Blonde
"Mort Subite Gueuze",107,Blonde
"Postel Triple",115,Blonde
"Chimay Dorée",118,Blonde
"3 Brasseurs Triple (la)",123,Blonde
"Saison Sauvin",124,Blonde
"Altitude 6",130,Blonde
Nounette,133,Blonde
"Abbaye du Val Dieu Noël (l')",136,Blonde
"Westmalle Double",137,Blonde
"Westmalle Triple",138,Blonde
"Achel Blonde",139,Blonde
"Achel Brune",140,Blonde
"Achel Extra Bruin",141,Blonde
"Westvleteren 6 Blond",146,Blonde
Orval,148,Blonde
"Alesmith IPA",153,Blonde
Gradisca,159,Blonde
Midòna,160,Blonde
"Anchor Small Beer",165,Blonde
"Anchor Steam Beer",166,Blonde
"Liberty Ale",167,Blonde
"The Kimmie, the Yink and the Holy Gose Ale",172,Blonde
"Art Malté Bière de l’Instant - Pils Fermentation",176,Blonde
"Art Malté Bière de l’Instant Blonde IBU – 80 IBU",177,Blonde
"Art Malté Bière de l’Instant Blonde – 10 IBU",178,Blonde
"Art Malté Blonde",179,Blonde
"Lathière Blonde du Bois des Eschelles",183,Blonde
"Yote (la)",190,Blonde
"Chang Beer",193,Blonde
"Golden Champion",195,Blonde
"Japan Pale Ale",197,Blonde
Nora,198,Blonde
"Big Eye IPA",199,Blonde
"Sculpin IPA",200,Blonde
"Baltika 3",201,Blonde
"Baltika 5",203,Blonde
Hildegarde,207,Blonde
"Croix Roussienne Blonde (la)",213,Blonde
"Ninkasi Blonde (bouteille)",220,Blonde
"Ninkasi Triple",225,Blonde
"Bayreuther Bio Weizen",230,Blonde
"Grosse Bertha",236,Blonde
"Yan Jing Beer",239,Blonde
"Cuivrée (la)",255,Blonde
"Meule (la)",257,Blonde
"Agrumes of Love",262,Blonde
"Bierataise Blonde Pur Malt",265,Blonde
"Système D Blonde",272,Blonde
"08003 Barceloneta",274,Blonde
"Extra Re Ale",278,Blonde
Genziana,279,Blonde
"My Antonia",281,Blonde
"Re Ale",283,Blonde
"Stelle & Strisce",285,Blonde
"Moska Rossa",289,Blonde
"Bitburger Premium Pils",291,Blonde
"Goldeneye Pale Ale",294,Blonde
"Jacobins Gueuze",302,Blonde
"De Koninck Gueuze",304,Blonde
"Oude Geuze Boon",307,Blonde
"Singha Premium Import Lager",308,Blonde
"Deus Brut des Flandres",310,Blonde
"Tripel Karmeliet",312,Blonde
"Akerbeltz Blonde (Horaila)",317,Blonde
"Aliénor Blonde",319,Blonde
"L & L Alphand Blonde",322,Blonde
"Alvinne Tripel",323,Blonde
"Extra IPA Restyled",326,Blonde
Gaspar,327,Blonde
"Hop Trilogy Centennial",328,Blonde
"Hop Trilogy Colombus",329,Blonde
"Hop Trilogy Simcoe",330,Blonde
"Mad Tom",332,Blonde
Melchior,334,Blonde
Pipedream,339,Blonde
"Mamm Douar",347,Blonde
Melig,348,Blonde
Tantad,349,Blonde
"St Glinglin Houblon",351,Blonde
"St Glinglin Triple",353,Blonde
"Madelon (la)",355,Blonde
"Mousse Blonde (la)",357,Blonde
"Mousse Dorée (la)",358,Blonde
"Grihète n°7 Cuvée d'Exception",360,Blonde
"Mange-Soif Blonde de Soif",362,Blonde
"Aramis French Smash Beer",364,Blonde
"B.A.S. Blonde",370,Blonde
"Philomenn Tourbée",373,Blonde
"Spoum Triple",374,Blonde
"Authentique Blonde",378,Blonde
"Authentique de Noël",379,Blonde
"Authentique Triple",380,Blonde
"Pils des 3 Canaux",381,Blonde
"Astra Rotlicht",382,Blonde
"Petrus Aged Pale",384,Blonde
"Petrus Gouden Tripel",385,Blonde
"Bière du Mont Saint Aubert",390,Blonde
